Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BbAvH;BbAvD;BbAvA;BbAv>2.5;BbAv<2.5;BbAvAHH;BbAvAHA
SP1;16/10/05;Betis;Getafe;1;0;H;1;0;H;13;13;3;6;26;19;4;5;2;4;0;1;1.8;3.25;4.0;1.89;3.2;3.79;2.08;1.65;1.95;1.9
SP1;16/10/05;Espanol;Cadiz;0;2;A;0;0;D;7;8;1;4;18;18;4;4;1;3;1;0;1.72;3.25;4.33;1.76;3.27;4.43;2.1;1.64;1.83;2.02
SP1;16/10/05;Mallorca;Santander;0;0;D;0;0;D;13;7;3;4;23;21;9;0;2;7;0;0;2.2;3.25;2.8;2.17;3.15;3.12;2.04;1.67;1.93;1.93
SP1;16/10/05;Osasuna;Celta;2;0;H;0;0;D;10;14;4;3;25;17;3;7;4;2;0;0;2.1;3.25;3.0;2.14;3.14;3.13;2.02;1.69;1.86;2.0
SP1;16/10/05;Valencia;Malaga;2;1;H;1;0;H;15;11;7;4;21;23;9;4;3;2;0;0;1.57;3.6;5.0;1.52;3.52;6.12;1.91;1.81;1.97;1.86
SP1;16/10/05;Zaragoza;Sociedad;0;1;A;0;1;A;17;7;2;3;14;16;11;5;2;1;0;1;1.72;3.25;4.33;1.79;3.25;4.28;1.75;1.96;1.83;2.03
SP1;22/10/05;Barcelona;Osasuna;3;0;H;0;0;D;24;6;10;1;10;21;7;2;1;4;0;0;1.36;4.33;9.0;1.31;4.43;8.82;1.73;1.99;2.04;1.8
SP1;22/10/05;Sevilla;Alaves;2;0;H;1;0;H;13;8;5;3;21;19;6;3;2;7;0;0;1.72;3.4;5.0;1.66;3.35;4.91;2.03;1.7;1.89;1.98
SP1;23/10/05;Cadiz;Ath Bilbao;1;0;H;1;0;H;11;12;2;0;20;10;3;1;3;0;0;0;2.25;3.2;3.1;2.25;3.12;2.96;2.05;1.67;2.07;1.79
SP1;23/10/05;Celta;Espanol;1;0;H;0;0;D;19;12;5;4;18;21;3;1;3;4;0;1;2.0;3.3;3.6;1.91;3.21;3.72;2.03;1.69;2.02;1.83
SP1;23/10/05;Getafe;Zaragoza;5;2;H;4;0;H;14;14;8;6;15;24;5;7;2;5;0;0;2.2;3.2;3.25;2.12;3.17;3.19;2.06;1.67;1.9;1.96
SP1;23/10/05;Malaga;Betis;5;0;H;2;0;H;17;10;9;4;26;14;7;4;1;1;0;0;2.4;3.25;2.8;2.46;3.12;2.66;2.1;1.64;1.83;2.0
SP1;23/10/05;Real Madrid;Valencia;1;2;A;1;2;A;15;16;3;6;20;23;6;6;4;3;2;0;1.66;3.4;5.5;1.65;3.34;5.07;1.81;1.9;2.07;1.78
SP1;23/10/05;Santander;Ath Madrid;0;1;A;0;1;A;8;12;3;5;20;20;10;4;2;2;0;0;2.6;3.2;2.62;2.53;3.12;2.57;2.09;1.64;1.92;1.91
SP1;23/10/05;Sociedad;La Coruna;2;0;H;0;0;D;16;13;9;1;26;14;5;4;2;2;0;0;2.4;3.25;2.8;2.41;3.1;2.71;2.01;1.71;1.82;2.01
SP1;23/10/05;Villarreal;Mallorca;3;0;H;3;0;H;18;13;7;2;13;16;4;6;1;1;0;0;1.57;3.6;6.0;1.56;3.46;5.8;1.88;1.83;1.97;1.87
