Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BbAvH,BbAvD,BbAvA,BbAv>2.5,BbAv<2.5,BbAvAHH,BbAvAHA,temp_max,lluvia_mm,viento_kmh
SP1,07/11/1993,Albacete,Tenerife,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,0.0,17.2
SP1,07/11/1993,Barcelona,Santander,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,3.4,8.6
SP1,07/11/1993,Celta,Ath Bilbao,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,3.4,19.4
SP1,07/11/1993,Osasuna,Oviedo,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,1.5,16.6
SP1,07/11/1993,Real Madrid,Logrones,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,0.1,7.9
SP1,07/11/1993,Sevilla,Vallecano,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,0.2,12.9
SP1,07/11/1993,Sociedad,Lerida,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,11.1,22.6
SP1,07/11/1993,Sp Gijon,Valencia,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,9.0,17.9
SP1,07/11/1993,Valladolid,La Coruna,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,0.5,15.5
SP1,07/11/1993,Zaragoza,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,1.9,23.0
SP1,10/11/1993,Ath Bilbao,La Coruna,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,1.1,15.5
SP1,10/11/1993,Ath Madrid,Osasuna,3,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,0.0,5.0
SP1,10/11/1993,Celta,Sp Gijon,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.4,17.7
SP1,10/11/1993,Lerida,Albacete,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,0.0,5.8
SP1,10/11/1993,Logrones,Sevilla,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,0.1,6.1
SP1,10/11/1993,Oviedo,Valladolid,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,0.1,10.8
SP1,10/11/1993,Santander,Zaragoza,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,0.2,13.7
SP1,10/11/1993,Tenerife,Barcelona,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,7.7,37.7
SP1,10/11/1993,Valencia,Real Madrid,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,0.0,10.2
SP1,10/11/1993,Vallecano,Sociedad,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,0.0,6.8
SP1,21/11/1993,Albacete,Vallecano,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,0.0,11.2
SP1,21/11/1993,Barcelona,Lerida,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,2.4,5.6
SP1,21/11/1993,La Coruna,Oviedo,4,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,0.2,15.0
SP1,21/11/1993,Osasuna,Santander,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,9.5
SP1,21/11/1993,Real Madrid,Celta,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,8.6
SP1,21/11/1993,Sevilla,Valencia,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,0.0,10.0
SP1,21/11/1993,Sociedad,Logrones,2,2,D,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.0,15.0
SP1,21/11/1993,Sp Gijon,Ath Bilbao,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,0.0,12.4
SP1,21/11/1993,Valladolid,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,0.0,11.2
SP1,21/11/1993,Zaragoza,Tenerife,6,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,0.0,22.5
